Curs;Estudis;Codi àrea territorial;Àrea territorial;Naturalesa;Titularitat;Matrícula concertada (S/N);Sexe;NESE agrupació;NESE descripció;Alumnes matriculats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;50
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;15
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;11
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;9
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;18
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;17
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;53
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;105
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;409
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;17
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1195
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;1143
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;11
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;68
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;14
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;12
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;16
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;61
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;104
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;281
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;235
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;456
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;25
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1376
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PRIVAT;PRIVAT;SI;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;1676
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA SEVERA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;4
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;45
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;89
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;32
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;77
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;85
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;ALTRES TITULARITATS PÚBLIQUES;;HOME;NECESSITATS EDUCATIVES ESPECIFIQUES;TRANSTORNS QUE CONDICIONEN L'APRENENTATGE;42
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA LLEUGERA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA MITJANA;7
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT AUDITIVA PROFUNDA;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL LLEUGERA;87
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT INTEL·LECTUAL MODERADA;18
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU AUTÒNOM;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU DEPENENT;2
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT MOTRIU SEMIAUTÒNOM;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;DISCAPACITAT VISUAL;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;PLURIDISCAPACITAT;1
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;RETARD DEL DESENVOLUPAMENT SENSE ETIOLOGIA CLARA;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRANSTORN GREU DE LA CONDUCTA;16
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORN MENTAL GREU;6
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIALS;TRASTORNS DE L'ESPECTRE AUTISTA;28
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALTES CAPACITATS;24
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;ALUMNAT NOUVINGUT;555
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;RETARD GREU DE L'APRENENTATGE;70
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;;DONA;NECESSITATS EDUCATIVES ESPECIFIQUES;SITUACIONS SOCIOECONÒMIQUES I/O SOCIOCULTURALS DESAFAVORIDES;1764
